index,type,title,release_year,season_count
0,TV Show,Blood & Water,2021,2
1,TV Show,Ganglands,2021,1
2,TV Show,Jailbirds New Orleans,2021,1
3,TV Show,Kota Factory,2021,2
4,TV Show,Midnight Mass,2021,1
5,TV Show,The Great British Baking Show,2021,9
6,TV Show,"Vendetta: Truth, Lies and The Mafia",2021,1
7,TV Show,Bangkok Breaking,2021,1
8,TV Show,Crime Stories: India Detectives,2021,1
9,TV Show,Dear White People,2021,4
10,TV Show,Falsa identidad,2020,2
11,TV Show,Jaguar,2021,1
12,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,1
13,TV Show,Resurrection: Ertugrul,2018,5
14,TV Show,Love on the Spectrum,2021,2
15,TV Show,Chicago Party Aunt,2021,1
16,TV Show,Sex Education,2020,3
17,TV Show,Squid Game,2021,1
18,TV Show,Tayo and Little Wizards,2020,1
19,TV Show,Angry Birds,2018,1
20,TV Show,Chhota Bheem,2021,3
21,TV Show,He-Man and the Masters of the Universe,2021,1
22,TV Show,The Smart Money Woman,2020,1
23,TV Show,Castle and Castle,2021,2
24,TV Show,Dharmakshetra,2014,1
25,TV Show,Nailed It,2021,6
26,TV Show,Numberblocks,2021,6
27,TV Show,Raja Rasoi Aur Anya Kahaniyan,2014,1
28,TV Show,Saved by the Bell,1994,9
29,TV Show,Stories by Rabindranath Tagore,2015,1
30,TV Show,Too Hot To Handle: Latino,2021,1
31,TV Show,Jack Whitehall: Travels with My Father,2021,5
32,TV Show,The World's Most Amazing Vacation Rentals,2021,2
33,TV Show,Yowamushi Pedal,2013,1
34,TV Show,Lucifer,2021,6
35,TV Show,Metal Shop Masters,2021,1
36,TV Show,Pokémon Master Journeys: The Series,2021,1
37,TV Show,Titipo Titipo,2019,2
38,TV Show,Mighty Raju,2017,4
39,TV Show,Into the Night,2021,2
40,TV Show,The Circle,2021,3
41,TV Show,Kid Cosmic,2021,2
42,TV Show,Octonauts: Above & Beyond,2021,1
43,TV Show,On the Verge,2021,1
44,TV Show,Tobot Galaxy Detectives,2019,2
45,TV Show,Countdown: Inspiration4 Mission to Space,2021,1
46,TV Show,Tayo the Little Bus,2016,2
47,TV Show,Bunk'd,2021,5
48,TV Show,Dive Club,2021,1
49,TV Show,La casa de papel,2021,5
50,TV Show,Money Heist: From Tokyo to Berlin,2021,1
51,TV Show,Sharkdog,2021,1
52,TV Show,Heroes of Goo Jit Zu,2021,1
53,TV Show,Hotel Del Luna,2019,1
54,TV Show,Luv Kushh,2012,1
55,TV Show,Pororo - The Little Penguin,2013,3
56,TV Show,Q-Force,2021,1
57,TV Show,Brave Animated Series,2021,1
58,TV Show,How to Be a Cowboy,2021,1
59,TV Show,HQ Barbers,2020,1
60,TV Show,Kid-E-Cats,2016,2
61,TV Show,Kuroko's Basketball,2015,3
62,TV Show,Major Dad,1992,4
63,TV Show,Oldsters,2019,1
64,TV Show,Turning Point: 9/11 and the War on Terror,2021,1
65,TV Show,Sparking Joy,2021,1
66,TV Show,Hometown Cha-Cha-Cha,2021,1
67,TV Show,The Ingenuity of the Househusband,2021,1
68,TV Show,Bread Barbershop,2020,2
69,TV Show,D.P.,2021,1
70,TV Show,Deadly Sins,2002,1
71,TV Show,I Heart Arlo,2021,1
72,TV Show,King of Boys: The Return of the King,2021,1
73,TV Show,Rebellion,2016,2
74,TV Show,RIDE ON TIME,2021,3
75,TV Show,Titletown High,2021,1
76,TV Show,EDENS ZERO,2021,1
77,TV Show,Family Reunion,2021,4
78,TV Show,Clickbait,2021,1
79,TV Show,John of God: The Crimes of a Spiritual Healer,2021,1
80,TV Show,Motel Makeover,2021,1
81,TV Show,Open Your Eyes,2021,1
82,TV Show,Post Mortem: No One Dies in Skarnes,2021,1
83,TV Show,Wheel of Fortune,2019,3
84,TV Show,Oggy Oggy,2021,1
85,TV Show,Manifest,2021,3
86,TV Show,Comedy Premium League,2021,1
87,TV Show,Everything Will Be Fine,2021,1
88,TV Show,Korean Cold Noodle Rhapsody,2021,1
89,TV Show,The Chair,2021,1
90,TV Show,Go! Go! Cory Carson,2021,5
91,TV Show,The Defeated,2020,1
92,TV Show,Mother Goose Club,2016,2
93,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,2018,1
94,TV Show,The Creative Indians,2020,1
95,TV Show,Winx Club,2015,2
96,TV Show,Brand New Cherry Flavor,2021,1
97,TV Show,Fast & Furious Spy Racers,2021,5
98,TV Show,Gone for Good,2021,1
99,TV Show,Grace and Frankie,2021,7
100,TV Show,The Kingdom,2021,1
101,TV Show,Valeria,2021,2
102,TV Show,AlRawabi School for Girls,2021,1
103,TV Show,Bake Squad,2021,1
104,TV Show,Gabby's Dollhouse,2021,2
105,TV Show,I Need Romance,2021,1
106,TV Show,Las muñecas de la mafia,2018,1
107,TV Show,The Crowned Clown,2019,1
108,TV Show,SHAMAN KING,2021,1
109,TV Show,Hit & Run,2021,1
110,TV Show,Navarasa,2021,1
111,TV Show,Car Masters: Rust to Riches,2021,3
112,TV Show,Cocaine Cowboys: The Kings of Miami,2021,1
113,TV Show,Control Z,2021,2
114,TV Show,Cooking With Paris,2021,1
115,TV Show,Autumn's Concerto,2009,1
116,TV Show,Office Girls,2011,1
117,TV Show,The Prince Who Turns into a Frog,2005,1
118,TV Show,Top Secret UFO Projects: Declassified,2021,1
119,TV Show,Two Fathers,2013,1
120,TV Show,You're My Destiny,2008,1
121,TV Show,30 Rock,2012,7
122,TV Show,44 Cats,2020,3
123,TV Show,Darwin’s Game,2020,1
124,TV Show,Friday Night Lights,2010,5
125,TV Show,Hunter X Hunter (2011),2014,6
126,TV Show,Charmed,2021,3
127,TV Show,Centaurworld,2021,1
128,TV Show,Glow Up,2021,3
129,TV Show,Khawatir,2009,1
130,TV Show,Myth & Mogul: John DeLorean,2021,1
131,TV Show,Outer Banks,2021,2
132,TV Show,Transformers: War for Cybertron: Kingdom,2021,1
133,TV Show,Tattoo Redo,2021,1
134,TV Show,The Flash,2021,7
135,TV Show,The Snitch Cartel: Origins,2021,1
136,TV Show,All American,2021,3
137,TV Show,How to Sell Drugs Online (Fast),2021,3
138,TV Show,Mighty Express,2021,4
139,TV Show,Plastic Cup Boyz: Laughing My Mask Off!,2021,1
140,TV Show,The Walking Dead,2019,10
141,TV Show,Wynonna Earp,2020,4
142,TV Show,Feels Like Ishq,2021,1
143,TV Show,Masters of the Universe: Revelation,2021,1
144,TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,2021,1
145,TV Show,Sky Rojo,2021,2
146,TV Show,The Movies That Made Us,2021,2
147,TV Show,Chicago Med,2019,5
148,TV Show,Sexy Beasts,2021,1
149,TV Show,Too Hot to Handle: Brazil,2021,1
150,TV Show,Okupas,2020,1
151,TV Show,Touch Your Heart,2019,1
152,TV Show,Explained,2021,3
153,TV Show,Johnny Test,2021,1
154,TV Show,Naomi Osaka,2021,1
155,TV Show,BEASTARS,2021,2
156,TV Show,Her Private Life,2019,1
157,TV Show,Never Have I Ever,2021,2
158,TV Show,Heist,2021,1
159,TV Show,My Unorthodox Life,2021,1
160,TV Show,Ridley Jones,2021,1
161,TV Show,Atypical,2021,4
162,TV Show,Biohackers,2021,2
163,TV Show,How to Become a Tyrant,2021,1
164,TV Show,The Cook of Castamar,2021,1
165,TV Show,Virgin River,2021,3
166,TV Show,Elize Matsunaga: Once Upon a Crime,2021,1
167,TV Show,RESIDENT EVIL: Infinite Darkness,2021,1
168,TV Show,Cat People,2021,1
169,TV Show,Dogs,2021,2
170,TV Show,The Mire,2021,2
171,TV Show,The War Next-door,2021,1
172,TV Show,Ask the StoryBots,2019,3
173,TV Show,Between,2016,2
174,TV Show,Chelsea,2017,2
175,TV Show,Code Lyoko,2007,4
176,TV Show,Colony,2018,3
177,TV Show,Cuckoo,2019,5
178,TV Show,Derry Girls,2019,2
179,TV Show,Girl from Nowhere,2021,2
180,TV Show,Good Morning Call,2017,2
181,TV Show,I AM A KILLER,2020,2
182,TV Show,I Think You Should Leave with Tim Robinson,2021,2
183,TV Show,Kim's Convenience,2021,5
184,TV Show,Larva,2015,3
185,TV Show,Marcella,2019,3
186,TV Show,Midnight Diner: Tokyo Stories,2019,2
