,index,series_title,runtime_of_series,genre,imdb_rating,no_of_votes,index,type,title,release_year,season_count
0,548,Kota Factory,(2019),"Comedy, Drama",9.0,28043,3,TV Show,Kota Factory,2021,2
1,648,Dear White People,(2017–2021),"Comedy, Drama",6.2,22334,9,TV Show,Dear White People,2021,4
2,90,Sex Education,(2019– ),"Comedy, Drama",8.3,159007,16,TV Show,Sex Education,2020,3
3,849,He-Man and the Masters of the Universe,(1983–1985),"Animation, Action, Adventure",7.5,16326,21,TV Show,He-Man and the Masters of the Universe,2021,1
4,482,Saved by the Bell,(1989–1992),"Comedy, Family, Romance",7.0,32241,28,TV Show,Saved by the Bell,1994,9
5,54,Lucifer,(2016– ),"Crime, Drama, Fantasy",8.1,233488,34,TV Show,Lucifer,2021,6
6,691,Into the Night,(II) (2020– ),"Drama, Sci-Fi, Thriller",7.1,20934,39,TV Show,Into the Night,2021,2
7,36,La casa de papel,(2017– ),"Action, Crime, Mystery",8.3,299735,49,TV Show,La casa de papel,2021,5
8,652,Manifest,(2018– ),"Drama, Mystery, Sci-Fi",7.2,22180,85,TV Show,Manifest,2021,3
9,401,Grace and Frankie,(2015– ),Comedy,8.3,39006,99,TV Show,Grace and Frankie,2021,7
10,1504,Car Masters: Rust to Riches,(2018– ),Reality-TV,8.8,7703,111,TV Show,Car Masters: Rust to Riches,2021,3
11,137,30 Rock,(2006–2013),Comedy,8.2,111988,121,TV Show,30 Rock,2012,7
12,278,Friday Night Lights,(2006–2011),"Drama, Sport",8.6,56165,124,TV Show,Friday Night Lights,2010,5
13,211,Charmed,(1998–2006),"Drama, Fantasy, Mystery",7.1,75566,126,TV Show,Charmed,2021,3
14,761,Outer Banks,(2020– ),"Action, Crime, Drama",7.6,18959,131,TV Show,Outer Banks,2021,2
15,32,The Flash,(2014– ),"Action, Adventure, Drama",7.7,305593,134,TV Show,The Flash,2021,7
16,1774,All American,(2018– ),"Drama, Sport",7.7,6098,136,TV Show,All American,2021,3
17,703,How to Sell Drugs Online (Fast),(2019– ),"Comedy, Crime, Drama",7.9,20554,137,TV Show,How to Sell Drugs Online (Fast),2021,3
18,2,The Walking Dead,(2010– ),"Drama, Horror, Thriller",8.2,854698,140,TV Show,The Walking Dead,2019,10
19,784,Wynonna Earp,(2016– ),"Action, Drama, Fantasy",7.4,18200,141,TV Show,Wynonna Earp,2020,4
20,903,Chicago Med,(2015– ),Drama,7.5,15130,147,TV Show,Chicago Med,2019,5
21,1626,Explained,(2018– ),Documentary,8.1,6882,152,TV Show,Explained,2021,3
22,1642,Johnny Test,(2005–2014),"Animation, Action, Adventure",5.0,6766,153,TV Show,Johnny Test,2021,1
23,595,Never Have I Ever,(2020– ),Comedy,7.9,24566,157,TV Show,Never Have I Ever,2021,2
24,264,Atypical,(2017–2021),"Comedy, Drama",8.3,60545,161,TV Show,Atypical,2021,4
25,1925,Biohackers,(2020– ),"Drama, Sci-Fi, Thriller",6.7,5423,162,TV Show,Biohackers,2021,2
26,717,Virgin River,(2019– ),"Drama, Romance",7.5,20132,165,TV Show,Virgin River,2021,3
27,1421,Between,(2015–2016),"Drama, Mystery, Sci-Fi",6.0,8315,173,TV Show,Between,2016,2
28,512,Colony,(2016–2018),"Action, Adventure, Drama",7.4,30482,176,TV Show,Colony,2018,3
29,1463,Cuckoo,(II) (2012– ),Comedy,7.3,7983,177,TV Show,Cuckoo,2019,5
30,688,Derry Girls,(2018– ),Comedy,8.4,21052,178,TV Show,Derry Girls,2019,2
31,1872,I Think You Should Leave with Tim Robinson,(2019– ),Comedy,7.7,5656,182,TV Show,I Think You Should Leave with Tim Robinson,2021,2
32,1375,Kim's Convenience,(2016– ),Comedy,8.2,8710,183,TV Show,Kim's Convenience,2021,5
33,602,Marcella,(2016– ),"Crime, Drama, Mystery",7.4,24222,185,TV Show,Marcella,2019,3
34,757,My Little Pony: Friendship Is Magic,(2010–2020),"Animation, Adventure, Comedy",7.6,19033,187,TV Show,My Little Pony: Friendship Is Magic,2018,8
35,41,Orange Is the New Black,(2013–2019),"Comedy, Crime, Drama",8.1,279138,188,TV Show,Orange Is the New Black,2019,7
36,1160,Undercover,(2019– ),"Crime, Drama, Thriller",7.9,10885,199,TV Show,Undercover,2020,2
37,1198,Workin' Moms,(2017– ),Comedy,7.6,10383,200,TV Show,Workin' Moms,2021,5
38,47,Grey's Anatomy,(2005– ),"Drama, Romance",7.6,251568,204,TV Show,Grey's Anatomy,2020,17
39,1499,Too Hot to Handle,(2020– ),"Game-Show, Reality-TV, Romance",4.5,7747,227,TV Show,Too Hot to Handle,2021,2
40,674,Black Lightning,(2017– ),"Action, Drama, Sci-Fi",6.1,21598,232,TV Show,Black Lightning,2021,4
